state,county,candidate,party,total_votes,won
Delaware,Kent County,Joe Biden,DEM,44552,True
Delaware,Kent County,Donald Trump,REP,41009,False
Delaware,New Castle County,Joe Biden,DEM,195034,True
Delaware,New Castle County,Donald Trump,REP,88364,False
Delaware,Sussex County,Donald Trump,REP,71230,True
Delaware,Sussex County,Joe Biden,DEM,56682,False
District of Columbia,District of Columbia,Joe Biden,DEM,39041,True
District of Columbia,District of Columbia,Donald Trump,REP,1725,False
District of Columbia,Ward 2,Joe Biden,DEM,29078,True
District of Columbia,Ward 2,Donald Trump,REP,2918,False
District of Columbia,Ward 3,Joe Biden,DEM,39397,True
District of Columbia,Ward 3,Donald Trump,REP,3705,False
District of Columbia,Ward 4,Joe Biden,DEM,42489,True
District of Columbia,Ward 4,Donald Trump,REP,1913,False
District of Columbia,Ward 5,Joe Biden,DEM,43320,True
District of Columbia,Ward 5,Donald Trump,REP,1769,False
District of Columbia,Ward 6,Joe Biden,DEM,56719,True
District of Columbia,Ward 6,Donald Trump,REP,4337,False
District of Columbia,Ward 7,Joe Biden,DEM,36382,True
District of Columbia,Ward 7,Donald Trump,REP,1134,False
District of Columbia,Ward 8,Joe Biden,DEM,30897,True
District of Columbia,Ward 8,Donald Trump,REP,1085,False
Florida,Alachua County,Joe Biden,DEM,89704,True
Florida,Alachua County,Donald Trump,REP,50972,False
Florida,Baker County,Donald Trump,REP,11911,True
Florida,Baker County,Joe Biden,DEM,2037,False
Florida,Bay County,Donald Trump,REP,66097,True
Florida,Bay County,Joe Biden,DEM,25614,False
Florida,Bradford County,Donald Trump,REP,10334,True
Florida,Bradford County,Joe Biden,DEM,3160,False
Florida,Brevard County,Donald Trump,REP,207883,True
Florida,Brevard County,Joe Biden,DEM,148549,False
Florida,Broward County,Joe Biden,DEM,618752,True
Florida,Broward County,Donald Trump,REP,333409,False
Florida,Calhoun County,Donald Trump,REP,5274,True
Florida,Calhoun County,Joe Biden,DEM,1209,False
Florida,Charlotte County,Donald Trump,REP,73243,True
Florida,Charlotte County,Joe Biden,DEM,42273,False
Florida,Citrus County,Donald Trump,REP,65352,True
Florida,Citrus County,Joe Biden,DEM,27092,False
Florida,Clay County,Donald Trump,REP,84480,True
Florida,Clay County,Joe Biden,DEM,38317,False
Florida,Collier County,Donald Trump,REP,128950,True
Florida,Collier County,Joe Biden,DEM,77621,False
Florida,Columbia County,Donald Trump,REP,23836,True
Florida,Columbia County,Joe Biden,DEM,8914,False
Florida,DeSoto County,Donald Trump,REP,8313,True
Florida,DeSoto County,Joe Biden,DEM,4259,False
Florida,Dixie County,Donald Trump,REP,6759,True
Florida,Dixie County,Joe Biden,DEM,1365,False
Florida,Duval County,Joe Biden,DEM,252556,True
Florida,Duval County,Donald Trump,REP,233762,False
Florida,Escambia County,Donald Trump,REP,96674,True
Florida,Escambia County,Joe Biden,DEM,70929,False
Florida,Flagler County,Donald Trump,REP,43043,True
Florida,Flagler County,Joe Biden,DEM,28161,False
Florida,Franklin County,Donald Trump,REP,4675,True
Florida,Franklin County,Joe Biden,DEM,2120,False
Florida,Gadsden County,Joe Biden,DEM,16153,True
Florida,Gadsden County,Donald Trump,REP,7465,False
Florida,Gilchrist County,Donald Trump,REP,7895,True
Florida,Gilchrist County,Joe Biden,DEM,1700,False
Florida,Glades County,Donald Trump,REP,3782,True
Florida,Glades County,Joe Biden,DEM,1385,False
Florida,Gulf County,Donald Trump,REP,6113,True
Florida,Gulf County,Joe Biden,DEM,1985,False
Florida,Hamilton County,Donald Trump,REP,3815,True
Florida,Hamilton County,Joe Biden,DEM,1963,False
Florida,Hardee County,Donald Trump,REP,6122,True
Florida,Hardee County,Joe Biden,DEM,2298,False
Florida,Hendry County,Donald Trump,REP,7906,True
Florida,Hendry County,Joe Biden,DEM,4929,False
Florida,Hernando County,Donald Trump,REP,70412,True
Florida,Hernando County,Joe Biden,DEM,37519,False
Florida,Highlands County,Donald Trump,REP,34873,True
Florida,Highlands County,Joe Biden,DEM,16938,False
Florida,Hillsborough County,Joe Biden,DEM,376367,True
Florida,Hillsborough County,Donald Trump,REP,327398,False
Florida,Holmes County,Donald Trump,REP,8080,True
Florida,Holmes County,Joe Biden,DEM,924,False
Florida,Indian River County,Donald Trump,REP,58872,True
Florida,Indian River County,Joe Biden,DEM,37844,False
Florida,Jackson County,Donald Trump,REP,15488,True
Florida,Jackson County,Joe Biden,DEM,6766,False
Florida,Jefferson County,Donald Trump,REP,4479,True
Florida,Jefferson County,Joe Biden,DEM,3897,False
Florida,Lafayette County,Donald Trump,REP,3128,True
Florida,Lafayette County,Joe Biden,DEM,510,False
Florida,Lake County,Donald Trump,REP,125859,True
Florida,Lake County,Joe Biden,DEM,83505,False
Florida,Lee County,Donald Trump,REP,233247,True
Florida,Lee County,Joe Biden,DEM,157695,False
Florida,Leon County,Joe Biden,DEM,103517,True
Florida,Leon County,Donald Trump,REP,57453,False
Florida,Levy County,Donald Trump,REP,16749,True
Florida,Levy County,Joe Biden,DEM,6205,False
Florida,Liberty County,Donald Trump,REP,2846,True
Florida,Liberty County,Joe Biden,DEM,694,False
Florida,Madison County,Donald Trump,REP,5576,True
Florida,Madison County,Joe Biden,DEM,3747,False
Florida,Manatee County,Donald Trump,REP,124987,True
Florida,Manatee County,Joe Biden,DEM,90166,False
Florida,Marion County,Donald Trump,REP,127826,True
Florida,Marion County,Joe Biden,DEM,74858,False
Florida,Martin County,Donald Trump,REP,61168,True
Florida,Martin County,Joe Biden,DEM,36893,False
Florida,Miami-Dade County,Joe Biden,DEM,617864,True
Florida,Miami-Dade County,Donald Trump,REP,532833,False
Florida,Monroe County,Donald Trump,REP,25693,True
Florida,Monroe County,Joe Biden,DEM,21881,False
Florida,Nassau County,Donald Trump,REP,42566,True
Florida,Nassau County,Joe Biden,DEM,15564,False
Florida,Okaloosa County,Donald Trump,REP,79798,True
Florida,Okaloosa County,Joe Biden,DEM,34248,False
Florida,Okeechobee County,Donald Trump,REP,11470,True
Florida,Okeechobee County,Joe Biden,DEM,4390,False
Florida,Orange County,Joe Biden,DEM,395014,True
Florida,Orange County,Donald Trump,REP,245398,False
Florida,Osceola County,Joe Biden,DEM,97297,True
Florida,Osceola County,Donald Trump,REP,73480,False
Florida,Palm Beach County,Joe Biden,DEM,433572,True
Florida,Palm Beach County,Donald Trump,REP,334711,False
Florida,Pasco County,Donald Trump,REP,179621,True
Florida,Pasco County,Joe Biden,DEM,119073,False
Florida,Pinellas County,Joe Biden,DEM,277450,True
Florida,Pinellas County,Donald Trump,REP,276209,False
Florida,Polk County,Donald Trump,REP,194586,True
Florida,Polk County,Joe Biden,DEM,145049,False
Florida,Putnam County,Donald Trump,REP,25514,True
Florida,Putnam County,Joe Biden,DEM,10527,False
Florida,St. Johns County,Donald Trump,REP,110946,True
Florida,St. Johns County,Joe Biden,DEM,63850,False
Florida,St. Lucie County,Donald Trump,REP,86831,True
Florida,St. Lucie County,Joe Biden,DEM,84137,False
Florida,Santa Rosa County,Donald Trump,REP,77385,True
Florida,Santa Rosa County,Joe Biden,DEM,27612,False
Florida,Sarasota County,Donald Trump,REP,148370,True
Florida,Sarasota County,Joe Biden,DEM,120110,False
Florida,Seminole County,Joe Biden,DEM,132528,True
Florida,Seminole County,Donald Trump,REP,125241,False
Florida,Sumter County,Donald Trump,REP,62761,True
Florida,Sumter County,Joe Biden,DEM,29341,False
Florida,Suwannee County,Donald Trump,REP,16410,True
Florida,Suwannee County,Joe Biden,DEM,4485,False
Florida,Taylor County,Donald Trump,REP,7751,True
Florida,Taylor County,Joe Biden,DEM,2299,False
Florida,Union County,Donald Trump,REP,5133,True
Florida,Union County,Joe Biden,DEM,1053,False
Florida,Volusia County,Donald Trump,REP,173821,True
Florida,Volusia County,Joe Biden,DEM,130575,False
Florida,Wakulla County,Donald Trump,REP,12874,True
Florida,Wakulla County,Joe Biden,DEM,5351,False
Florida,Walton County,Donald Trump,REP,32947,True
Florida,Walton County,Joe Biden,DEM,10338,False
Florida,Washington County,Donald Trump,REP,9876,True
Florida,Washington County,Joe Biden,DEM,2347,False
Georgia,Appling County,Donald Trump,REP,6570,True
Georgia,Appling County,Joe Biden,DEM,1784,False
Georgia,Atkinson County,Donald Trump,REP,2300,True
Georgia,Atkinson County,Joe Biden,DEM,825,False
Georgia,Bacon County,Donald Trump,REP,4017,True
Georgia,Bacon County,Joe Biden,DEM,625,False
Georgia,Baker County,Donald Trump,REP,897,True
Georgia,Baker County,Joe Biden,DEM,652,False
Georgia,Baldwin County,Joe Biden,DEM,9140,True
Georgia,Baldwin County,Donald Trump,REP,8903,False
Georgia,Banks County,Donald Trump,REP,7795,True
Georgia,Banks County,Joe Biden,DEM,932,False
Georgia,Barrow County,Donald Trump,REP,26804,True
Georgia,Barrow County,Joe Biden,DEM,10453,False
Georgia,Bartow County,Donald Trump,REP,37672,True
Georgia,Bartow County,Joe Biden,DEM,12091,False
Georgia,Ben Hill County,Donald Trump,REP,4111,True
Georgia,Ben Hill County,Joe Biden,DEM,2393,False
Georgia,Berrien County,Donald Trump,REP,6419,True
Georgia,Berrien County,Joe Biden,DEM,1269,False
Georgia,Bibb County,Joe Biden,DEM,43408,True
Georgia,Bibb County,Donald Trump,REP,26559,False
Georgia,Bleckley County,Donald Trump,REP,4329,True
Georgia,Bleckley County,Joe Biden,DEM,1312,False
Georgia,Brantley County,Donald Trump,REP,6993,True
Georgia,Brantley County,Joe Biden,DEM,700,False
Georgia,Brooks County,Donald Trump,REP,4261,True
Georgia,Brooks County,Joe Biden,DEM,2791,False
Georgia,Bryan County,Donald Trump,REP,14240,True
Georgia,Bryan County,Joe Biden,DEM,6738,False
Georgia,Bulloch County,Donald Trump,REP,18387,True
Georgia,Bulloch County,Joe Biden,DEM,11248,False
Georgia,Burke County,Donald Trump,REP,5400,True
Georgia,Burke County,Joe Biden,DEM,5208,False
Georgia,Butts County,Donald Trump,REP,8406,True
Georgia,Butts County,Joe Biden,DEM,3274,False
Georgia,Calhoun County,Joe Biden,DEM,1263,True
Georgia,Calhoun County,Donald Trump,REP,923,False
Georgia,Camden County,Donald Trump,REP,15249,True
Georgia,Camden County,Joe Biden,DEM,7967,False
Georgia,Candler County,Donald Trump,REP,3133,True
Georgia,Candler County,Joe Biden,DEM,1269,False
Georgia,Carroll County,Donald Trump,REP,37476,True
Georgia,Carroll County,Joe Biden,DEM,16236,False
Georgia,Catoosa County,Donald Trump,REP,25167,True
Georgia,Catoosa County,Joe Biden,DEM,6932,False
Georgia,Charlton County,Donald Trump,REP,3419,True
Georgia,Charlton County,Joe Biden,DEM,1105,False
Georgia,Chatham County,Joe Biden,DEM,78247,True
Georgia,Chatham County,Donald Trump,REP,53232,False
Georgia,Chattahoochee County,Donald Trump,REP,880,True
Georgia,Chattahoochee County,Joe Biden,DEM,667,False
Georgia,Chattooga County,Donald Trump,REP,8064,True
Georgia,Chattooga County,Joe Biden,DEM,1854,False
Georgia,Cherokee County,Donald Trump,REP,99585,True
Georgia,Cherokee County,Joe Biden,DEM,42779,False
Georgia,Clarke County,Joe Biden,DEM,36055,True
Georgia,Clarke County,Donald Trump,REP,14450,False
Georgia,Clay County,Joe Biden,DEM,791,True
Georgia,Clay County,Donald Trump,REP,637,False
Georgia,Clayton County,Joe Biden,DEM,95466,True
Georgia,Clayton County,Donald Trump,REP,15811,False
Georgia,Clinch County,Donald Trump,REP,2105,True
Georgia,Clinch County,Joe Biden,DEM,744,False
Georgia,Cobb County,Joe Biden,DEM,221847,True
Georgia,Cobb County,Donald Trump,REP,165436,False
Georgia,Coffee County,Donald Trump,REP,10578,True
Georgia,Coffee County,Joe Biden,DEM,4511,False
Georgia,Colquitt County,Donald Trump,REP,11777,True
Georgia,Colquitt County,Joe Biden,DEM,4190,False
Georgia,Columbia County,Donald Trump,REP,50013,True
Georgia,Columbia County,Joe Biden,DEM,29232,False
Georgia,Cook County,Donald Trump,REP,4900,True
Georgia,Cook County,Joe Biden,DEM,2059,False
Georgia,Coweta County,Donald Trump,REP,51501,True
Georgia,Coweta County,Joe Biden,DEM,24210,False
Georgia,Crawford County,Donald Trump,REP,4428,True
Georgia,Crawford County,Joe Biden,DEM,1615,False
Georgia,Crisp County,Donald Trump,REP,4985,True
Georgia,Crisp County,Joe Biden,DEM,2982,False
Georgia,Dade County,Donald Trump,REP,6066,True
Georgia,Dade County,Joe Biden,DEM,1261,False
Georgia,Dawson County,Donald Trump,REP,13398,True
Georgia,Dawson County,Joe Biden,DEM,2486,False
Georgia,Decatur County,Donald Trump,REP,6755,True
Georgia,Decatur County,Joe Biden,DEM,4782,False
Georgia,DeKalb County,Joe Biden,DEM,308162,True
Georgia,DeKalb County,Donald Trump,REP,58377,False
