state,county,candidate,party,total_votes,won
Georgia,Appling County,Donald Trump,REP,6570,True
Georgia,Appling County,Joe Biden,DEM,1784,False
Georgia,Appling County,Jo Jorgensen,LIB,36,False
Georgia,Appling County, Write-ins,WRI,0,False
Georgia,Atkinson County,Donald Trump,REP,2300,True
Georgia,Atkinson County,Joe Biden,DEM,825,False
Georgia,Atkinson County,Jo Jorgensen,LIB,30,False
Georgia,Atkinson County, Write-ins,WRI,0,False
Georgia,Bacon County,Donald Trump,REP,4017,True
Georgia,Bacon County,Joe Biden,DEM,625,False
Georgia,Bacon County,Jo Jorgensen,LIB,25,False
Georgia,Bacon County, Write-ins,WRI,0,False
Georgia,Baker County,Donald Trump,REP,897,True
Georgia,Baker County,Joe Biden,DEM,652,False
Georgia,Baker County,Jo Jorgensen,LIB,6,False
Georgia,Baker County, Write-ins,WRI,0,False
Georgia,Baldwin County,Joe Biden,DEM,9140,True
Georgia,Baldwin County,Donald Trump,REP,8903,False
Georgia,Baldwin County,Jo Jorgensen,LIB,208,False
Georgia,Baldwin County, Write-ins,WRI,0,False
Georgia,Banks County,Donald Trump,REP,7795,True
Georgia,Banks County,Joe Biden,DEM,932,False
Georgia,Banks County,Jo Jorgensen,LIB,74,False
Georgia,Banks County, Write-ins,WRI,0,False
Georgia,Barrow County,Donald Trump,REP,26804,True
Georgia,Barrow County,Joe Biden,DEM,10453,False
Georgia,Barrow County,Jo Jorgensen,LIB,664,False
Georgia,Barrow County, Write-ins,WRI,0,False
Georgia,Bartow County,Donald Trump,REP,37672,True
Georgia,Bartow County,Joe Biden,DEM,12091,False
Georgia,Bartow County,Jo Jorgensen,LIB,701,False
Georgia,Bartow County, Write-ins,WRI,0,False
Georgia,Ben Hill County,Donald Trump,REP,4111,True
Georgia,Ben Hill County,Joe Biden,DEM,2393,False
Georgia,Ben Hill County,Jo Jorgensen,LIB,60,False
Georgia,Ben Hill County, Write-ins,WRI,0,False
Georgia,Berrien County,Donald Trump,REP,6419,True
Georgia,Berrien County,Joe Biden,DEM,1269,False
Georgia,Berrien County,Jo Jorgensen,LIB,55,False
Georgia,Berrien County, Write-ins,WRI,0,False
Georgia,Bibb County,Joe Biden,DEM,43408,True
Georgia,Bibb County,Donald Trump,REP,26559,False
Georgia,Bibb County,Jo Jorgensen,LIB,747,False
Georgia,Bibb County, Write-ins,WRI,0,False
Georgia,Bleckley County,Donald Trump,REP,4329,True
Georgia,Bleckley County,Joe Biden,DEM,1312,False
Georgia,Bleckley County,Jo Jorgensen,LIB,67,False
Georgia,Bleckley County, Write-ins,WRI,0,False
Georgia,Brantley County,Donald Trump,REP,6993,True
Georgia,Brantley County,Joe Biden,DEM,700,False
Georgia,Brantley County,Jo Jorgensen,LIB,56,False
Georgia,Brantley County, Write-ins,WRI,0,False
Georgia,Brooks County,Donald Trump,REP,4261,True
Georgia,Brooks County,Joe Biden,DEM,2791,False
Georgia,Brooks County,Jo Jorgensen,LIB,49,False
Georgia,Brooks County, Write-ins,WRI,0,False
Georgia,Bryan County,Donald Trump,REP,14240,True
Georgia,Bryan County,Joe Biden,DEM,6738,False
Georgia,Bryan County,Jo Jorgensen,LIB,357,False
Georgia,Bryan County, Write-ins,WRI,0,False
